posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel,location
2026-05-12,2026-05-11,JACK STACK BARBECUE,Restaurants,DEBIT,-38.20,2967.84,,POS000500072,POS,Kansas City MO
2026-05-13,2026-05-12,MINSKYS PIZZA,Restaurants,DEBIT,-31.20,2936.64,,POS000500036,POS,Kansas City MO
2026-05-14,2026-05-14,QUIKTRIP #023,Fuel,DEBIT,-41.00,2895.64,,POS000500038,POS,Kansas City MO
2026-05-14,2026-05-13,JACK STACK BARBECUE REVERSAL,Restaurants,CREDIT,38.20,2933.84,,POS000500073,POS,Kansas City MO
2026-05-15,2026-05-15,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,4910.17,,DEP000500039,ACH,Kansas City MO
2026-05-16,2026-05-16,TRANSFER TO SAVINGS XXXXXX8841,Transfer,DEBIT,-50.00,4860.17,,XFR000500045,XFER,Kansas City MO
2026-05-17,2026-05-17,MERIDIAN BANK VISA PMT AUTOPAY,Credit Card Payment,DEBIT,-104.80,4755.37,,ACH000500041,ACH,Kansas City MO
2026-05-18,2026-05-18,SUMMIT REWARDS MC AUTOPAY,Credit Card Payment,DEBIT,-615.20,4140.17,,ACH000500042,ACH,Kansas City MO
2026-05-19,2026-05-18,ALDI KANSAS CITY,Groceries,DEBIT,-60.35,4079.82,,POS000500034,POS,Kansas City MO
2026-05-20,2026-05-20,LIBERTY POINT LENDING LOAN PMT,Loan Payment,DEBIT,-278.26,3801.56,,ACH000500043,ACH,Kansas City MO
2026-05-21,2026-05-20,CHRISTOPHER ELBOW COFFEE,Restaurants,DEBIT,-14.75,3786.81,,POS000500037,POS,Kansas City MO
2026-05-22,2026-05-22,STERLING STUDENT LOAN SVCG PMT,Loan Payment,DEBIT,-342.00,3444.81,,ACH000500044,ACH,Kansas City MO
2026-05-24,2026-05-23,HY-VEE #1521,Groceries,DEBIT,-93.14,3351.67,,POS000500035,POS,Kansas City MO
2026-05-29,2026-05-29,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,5328.00,,DEP000500040,ACH,Kansas City MO
2026-05-29,2026-05-28,INTEREST PAID,Interest,CREDIT,0.11,5328.11,,INT000500046,,
2026-06-01,2026-06-01,GILLHAM ROW APARTMENTS RENT,Housing,DEBIT,-1250.00,4078.11,,ACH000500047,ACH,Kansas City MO
2026-06-03,2026-06-02,NETFLIX.COM,Subscription,DEBIT,-15.49,4062.62,,POS000500048,POS,Los Gatos CA
2026-06-05,2026-06-04,SPOTIFY USA,Subscription,DEBIT,-11.99,4050.63,,POS000500049,POS,New York NY
2026-06-06,2026-06-06,PLANET FITNESS KC,Subscription,DEBIT,-24.99,4025.64,,ACH000500050,ACH,Kansas City MO
2026-06-07,2026-06-06,HY-VEE #1521,Groceries,DEBIT,-131.63,3894.01,,POS000500056,POS,Kansas City MO
2026-06-08,2026-06-07,APPLE.COM/BILL ICLOUD,Subscription,DEBIT,-2.99,3891.02,,POS000500051,POS,Cupertino CA
2026-06-09,2026-06-08,EVERGY KANSAS CITY,Utilities,DEBIT,-110.90,3780.12,,ACH000500052,ACH,Kansas City MO
2026-06-10,2026-06-09,SPIRE GAS,Utilities,DEBIT,-32.98,3747.14,,ACH000500053,ACH,Kansas City MO
2026-06-11,2026-06-10,KC WATER SERVICES,Utilities,DEBIT,-38.72,3708.42,,ACH000500054,ACH,Kansas City MO
2026-06-12,2026-06-11,GOOGLE FIBER INTERNET,Utilities,DEBIT,-70.00,3638.42,,ACH000500055,ACH,Kansas City MO
2026-06-13,2026-06-12,MINSKYS PIZZA,Restaurants,DEBIT,-31.20,3607.22,,POS000500059,POS,Kansas City MO
2026-06-14,2026-06-14,QUIKTRIP #023,Fuel,DEBIT,-43.10,3564.12,,POS000500061,POS,Kansas City MO
2026-06-15,2026-06-15,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,5540.45,,DEP000500062,ACH,Kansas City MO
2026-06-16,2026-06-16,TRANSFER TO SAVINGS XXXXXX8841,Transfer,DEBIT,-50.00,5490.45,,XFR000500068,XFER,Kansas City MO
2026-06-17,2026-06-17,MERIDIAN BANK VISA PMT AUTOPAY,Credit Card Payment,DEBIT,-104.80,5385.65,,ACH000500064,ACH,Kansas City MO
2026-06-18,2026-06-18,SUMMIT REWARDS MC AUTOPAY,Credit Card Payment,DEBIT,-615.20,4770.45,,ACH000500065,ACH,Kansas City MO
2026-06-19,2026-06-18,ALDI KANSAS CITY,Groceries,DEBIT,-57.15,4713.30,,POS000500057,POS,Kansas City MO
2026-06-20,2026-06-20,LIBERTY POINT LENDING LOAN PMT,Loan Payment,DEBIT,-278.26,4435.04,,ACH000500066,ACH,Kansas City MO
2026-06-21,2026-06-20,CHRISTOPHER ELBOW COFFEE,Restaurants,DEBIT,-14.75,4420.29,,POS000500060,POS,Kansas City MO
2026-06-22,2026-06-22,STERLING STUDENT LOAN SVCG PMT,Loan Payment,DEBIT,-342.00,4078.29,,ACH000500067,ACH,Kansas City MO
2026-06-24,2026-06-23,HY-VEE #1521,Groceries,DEBIT,-98.14,3980.15,,POS000500058,POS,Kansas City MO
2026-06-30,2026-06-30,CRESTLINE MUTUAL INS PAYROLL,Payroll,CREDIT,1976.33,5956.48,,DEP000500063,ACH,Kansas City MO
2026-06-30,2026-06-28,INTEREST PAID,Interest,CREDIT,0.11,5956.59,,INT000500069,,
